id,title,type,score,status,volumes,chapters,synopsis,picture_url,web_url,title_english
46,Mob Psycho 100,manga,8.6,finished,16,109,"Shigeo ""Mob"" Kageyama is an eighth-grade student blessed with extraordinary psychic powers. However, Mob decides to suppress his abilities in public due to its destructive and conspicuous nature. To keep his psychic powers honed, he works under Arataka Reigenâ€”a self-proclaimed esper looking to make use of Mob's skills.

Alongside Reigen, Mob spends his days exorcising evil spirits at Reigen's behest. With the simple wish to impress his childhood friend Tsubomi Takane, Mob works toward making himself more desirable. But troubles keep on bombarding his daily life, slowly breaking his shackled feelings. With his repressed emotions welling up, there's no telling what will happen once he reaches his limit.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/2/204842l.jpg,https://myanimelist.net/manga/60783/Mob_Psycho_100,Mob Psycho 100
47,Gintama,manga,8.62,finished,77,709,"During the Edo period, Japan is suddenly invaded by alien creatures known as the ""Amanto."" Despite the samurai's attempts to combat the extraterrestrial menace, the Shogun soon realizes that their efforts are futile and decides to surrender. This marks the beginning of an uneasy agreement between the Shogunate and Amanto, one that results in a countrywide sword ban and the disappearance of the samurai spirit.

However, there exists one eccentric individual who wields a wooden sword and refuses to let his samurai status die. Now that his kind are no longer needed, Gintoki Sakata performs various odd jobs around town in order to make ends meet. Joined by his self-proclaimed disciple Shinpachi Shimura, the fearsome alien Kagura, and a giant dog named Sadaharu, they run the business known as Yorozuya, often getting caught up in all sorts of crazy and hilarious shenanigans.

[Written by MAL Rewrite]

Included one-shots:
Volume 1: Dandelion
Volume 2: Shirokuro (Black and White)
Volume 24: 13
Volume 38: Bankara-san ga Tooru",https://cdn.myanimelist.net/images/manga/1/143121l.jpg,https://myanimelist.net/manga/44/Gintama,Gin Tama
48,Neon Genesis Evangelion,manga,8.56,finished,14,97,"In 1999, a meteorite crashed into Antarctica. The impact melted the continental ice mass and drastically raised sea levels, damaging the world's climate and causing the deaths of over half its population. Now in 2015, devastating creatures of unknown originâ€”referred to as ""Angels""â€”ravage what remains of the planet. 

In the heavily fortified city of Tokyo-3, 14-year-old Shinji Ikari is destined to halt the Angels' onslaught. Recruited by his father's secret organization NERV, Shinji is enlisted as a pilot of an Evangelion, a massive bioorganic android created solely to defeat the Angels.

Suddenly with the weight of the world upon his shoulders, Shinji must find the courage and drive to stand up for the futureâ€”and himself. But as skirmishes between the Evangelions and Angels become recurrent, the horrifying truth of the world is slowly revealed.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/1/145061l.jpg,https://myanimelist.net/manga/698/Neon_Genesis_Evangelion,Neon Genesis Evangelion
49,Skip Beat!,manga,8.57,currently_publishing,,,"Sixteen-year-old Kyouko Mogami followed her childhood friend and love interest Shoutarou ""Shou"" Fuwa to Tokyo to support him while he works toward his dream of becoming a top idol in the entertainment industry. But after finding out that Shou considers her as little more than a mere housekeeper, she swears to enact revenge by entering the entertainment industry herself and beating him at his own game!

However, Kyouko's revenge plan suffers a setback almost immediately when she is rejected by the talent agency of her choice. Fortunately, the president of the agency gives her a second chance, and places her in the newly made ""Love Me"" section. Kyouko then begins her long journey to stardom, cultivating her skills as an actress and forming relationships with new friends along the way.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/2/255389l.jpg,https://myanimelist.net/manga/610/Skip_Beat,Skip Beat!
50,Sayonara Eri,manga,8.74,finished,1,,"Suffering from a terminal illness, Yuuta's mother asks him to film her last moments, which he does. From her radiant smile when she is with her family to the times when sickness ravages her body in the hospital, he records hours upon hours of footage. After her passing, Yuuta compiles her life into a movie to screen at his school, deciding to add a bit of fantasy to the ending of his film, Dead Explosion Mother, with a literal explosion!

Following the backlash caused by his supposedly tone-deaf portrayal of his mother's death, Yuuta trudges to the hospital roof to take his own lifeâ€”but there, he meets a girl named Eri. Captivated by his film, Eri requests Yuuta to make a new  one that will blow the previous out of the water and prove his critics wrong. The movie they set out to make will stand apart by blurring the line between fact and fiction. And of course, it wouldn't be a Yuuta film if it didn't have his personal flavorâ€”just a dash of fantasy.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/3/263979l.jpg,https://myanimelist.net/manga/145863/Sayonara_Eri,"Goodbye, Eri"
51,Tower of God,manhwa,8.43,currently_publishing,,,"Twenty-Fifth Bam had been alone his whole life until he met Rachel. Now, however, Rachel is set on climbing the Tower, and she is willing to leave Bam behind to do so. After Rachel disappears in a veil of light, Bam follows her, vowing to ascend the Tower in hopes of meeting her again.

But the Tower is a dangerous place full of ancient secrets, fearsome monsters, and nefarious humans. Each floor is protected by an Administrator who puts the daring challengers through grueling tests that will push them to their limits.

As he confronts Headon, the Administrator of the first floor, Bam learns that he is an ''Irregular,'' someone who was not chosen by the Tower but was able to enter it on his own, an extremely rare event inside the Tower. Regardless of this revelation, however, his path forward is clear. Be it wealth, power, glory, or even reuniting with Rachel, all desires will be realized at the top of the Tower.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/2/223694l.jpg,https://myanimelist.net/manga/122663/Tower_of_God,Tower of God
52,Kami nomi zo Shiru Sekai,manga,8.48,finished,26,271,"Keima Katsuragi is a high school student better known online as the ""God of Conquest,"" the man who can obtain the heart of any dating sim girl. In his opinion, real life is an awful game; three-dimensional girls are annoying and false representations of how a real girl should be.

One afternoon, while taking a break from cleaning duty, he stumbles across a strange message that goads him to conquer a girl. On a whim, he accepts, and his consent summons a girl named Elucia ""Elsie"" de Lute Ima, a denizen of hell tasked with capturing runaway spirits that have festered in girls' hearts. Keima is shocked and tries to escape, but Elsie tells him that failure in fulfilling the newly-formed contract will result in the termination of his life!

Tasked with capturing the runaway spirits, Keima uses his expertise and knowledge of dating sims to obtain the hearts of girls in real life.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/2/188974l.jpg,https://myanimelist.net/manga/7519/Kami_nomi_zo_Shiru_Sekai,
53,The Breaker,manhwa,8.43,finished,10,72,"Yi ""Shioon"" Shi-Woon's everyday life at Nine Dragons High Schoolâ€”which consists of beatings from fellow student Ho Chang and his gangâ€”is far from ideal. But one day, a mysterious man named Han Chun Woo spots one of these beatings and instead of offering support, brands Shioon a coward for refusing to fight back, adding insult to injury. To Shioon's surprise, he finds out that Chun Woo is the new substitute English teacher at his school.

Tired of the daily abuse, Shioon decides to enroll at a martial arts academy to learn how to defend himself. On the way there, he stumbles upon Chun Woo in a predicamentâ€”cornered in an alley by a group of angry men! Provoked, Chun Woo suddenly dispatches them using martial arts techniques, which Shioon covertly records. Later, he uses this recording to blackmail Chun Woo into teaching him to defend himself. Reluctantly, Chun Woo agrees, and Shioon is soon thrust into the world of martial arts, known as Murim. However, Shioon is naive and unaware of his master's shady past and the unseen underbelly of society. How will Chun Woo manage to teach Shioon and help him survive in the world of Murim?

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/2/55867l.jpg,https://myanimelist.net/manga/8586/The_Breaker,
54,Pluto,manga,8.61,finished,8,65,"The world-famous Swiss robot Montblanc has been violently murdered. Humans and robots around the world mourn for the beloved celebrity, made famous for his service in the 39th Asian War. Montblanc's popularity only grew in the following years after the war, thanks to his dedication to nature conservation, as well as his loving personality. 

Robotic Europol detective and war veteran Gesicht is sent to investigate Montblanc's tragic demise. Gesicht uncovers evidence of a mysterious entity known only as ""Pluto."" Along with this, he learns of a plot to dismantle the eight specialized robots from around the world who participated in the war. Racing against time to save those who still remain, Gesicht grapples with his memory, morality, and a world full of hate, desperately attempting to defend the fragile coexistence of man and machine.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/1/264496l.jpg,https://myanimelist.net/manga/745/Pluto,Pluto: Urasawa x Tezuka
55,Hajime no Ippo,manga,8.68,currently_publishing,,,"Makunouchi Ippo is a 16-year-old high school student who helps his mother run the family business. His hefty workload impedes on his social life, making him an easy target for bullies. One day, while being beaten up by a group of high school students, Ippo is saved by a boxer named Mamoru Takamura, and is brought to the Kamogawa Boxing Gym. 

This afterschool bullying session turns his life around for the better as Ippo discovers his latent talent for boxing and decides to practice the sport professionally. However, Mamoru doubts Ippo's determination and assigns him a task deemed impossible to complete, but the resolute Ippo trains tirelessly to fulfill his mission. Along the way, he finds out what it means to attain true strength while making new friends and fighting formidable foes.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/2/250313l.jpg,https://myanimelist.net/manga/7/Hajime_no_Ippo,
56,Onanie Master Kurosawa,manga,8.42,finished,4,31,"Fourteen-year-old Kakeru Kurosawa is an antisocial junior high school student who looks down on his classmatesâ€”but beneath his superiority complex is a hopeless young teenager who uses masturbation as a pastime. Using erotic thoughts of his female classmates as stimulus, he locks himself daily in a seldom-used girl's bathroom at school to do his dirty deed.

One day during class, Kurosawa witnesses the popular girls bullying the timid Aya Kitahara. Although not one to be riled over such matters, he decides to deliver retribution with his own hands. In a daring move, he steals the uniforms of the bullies and dispenses his ""white justice"" over them.

Although satisfied with his exploits, Kurosawa's troubles are only just beginning. While going about his daily routine, he is suddenly confronted by Kitahara, who identifies him as the culprit behind the uniform incident, and blackmails him into terrorizing the other girls in the class the same way he dealt with her bullies. Left with little choice, Kurosawa agrees, and thus begins a coming-of-age story that deals with consequences, bullying, and people's ability to change.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/3/212092l.jpg,https://myanimelist.net/manga/8967/Onanie_Master_Kurosawa,
57,Dragon Ball,manga,8.4,finished,42,520,"Bulma, a headstrong 16-year-old girl, is on a quest to find the mythical Dragon Ballsâ€”seven scattered magic orbs that grant the finder a single wish. She has but one desire in mind: a perfect boyfriend. On her journey, Bulma stumbles upon Gokuu Son, a powerful orphan who has only ever known one human besides her. Gokuu possesses one of the Dragon Balls, it being a memento from his late grandfather. In exchange for it, Bulma invites Gokuu to be a companion in her travels.

By Bulma's side, Gokuu discovers a world completely alien to him. Powerful enemies embark on their own pursuits of the Dragon Balls, pushing Gokuu beyond his limits in order to protect Bulma and their growing circle of allies. However, Gokuu has secrets unbeknownst to even himself; the incredible strength within him stems from a mysterious source, one that threatens the many people he grows to hold dear.

As his prowess in martial arts flourishes, Gokuu attracts stronger opponents whose villainous plans could collapse beneath his might. He undertakes the endless venture of combat training to defend his loved ones and the fate of the planet itself.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/2/54545l.jpg,https://myanimelist.net/manga/42/Dragon_Ball,Dragon Ball
58,Kuroshitsuji,manga,8.43,currently_publishing,,,"Tucked away in the English countryside lies the ominous manor of the Phantomhives, a family which has established itself as the cold and ruthless ""Queen's Watchdog"" as well as the head of London's criminal underground. After a tragedy leaves the Earl and his wife dead, many are shocked when their son, a young boy named Ciel, claims his place as the new Earl of the Phantomhive house. At first, many perceive him only as a child surrounded by a few eccentric servants. But they soon begin to realize that it is foolish to meddle with Ciel and his demonic butler Sebastian.

Taking place at the end of the 19th century, Kuroshitsuji follows these two as they face countless mysteries and dangers that plague England and threaten the Queen, uncovering the truth about what really happened to Ciel's parents in the process.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/3/248448l.jpg,https://myanimelist.net/manga/3866/Kuroshitsuji,Black Butler
59,Bakuman.,manga,8.4,finished,20,176,"Despite being a talented artist, middle school student Moritaka Mashiro is unsure about his future, accepting that he will simply lead a normal life. After seeing one of Mashiro's drawings in class, Akito Takagiâ€”an aspiring writerâ€”insists that they write a manga together. But Mashiro is hesitantâ€”his uncle, a mangaka, had died from overworking just a few years prior. However, when Mashiro hears that his crush, Miho Azuki, aims to be a voice actress, he becomes determined to create a manga that can be adapted into an anime for her to star in. Reciprocating Mashiro's feelings, she agrees to get married once they have both achieved their dreams.

Bakuman. chronicles Mashiro and Takagi's successes and struggles in their attempts to be serialized in Weekly Shounen Jump and become famous mangakas. Will their gamble pay off, or will they join the countless number of failures?

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/1/208974l.jpg,https://myanimelist.net/manga/9711/Bakuman,Bakumanã€‚
60,Kaichou wa Maid-sama!,manga,8.4,finished,18,98,"Seika High School was an all-boys school, but it has since turned co-ed. Misaki Ayuzawa is the first female student council president of the school, eventually earning the nickname of the ""Demon President"" due to her mastery of Aikido and imposed iron rule.

However, Misaki harbors an embarrassing secretâ€”she has to work at a maid cafÃ© to support her family. If anybody from her school was to find out, her reputation would be utterly destroyed. And after Takumi Usuiâ€”the most popular boy at schoolâ€”discovers her secret, that might just happen. Kaichou wa Maid-sama! follows their story as they spend more time together and eventually begin to understand each other's secrets.

[Written by MAL Rewrite]

Included one-shot:
Volume 1: Toumei na Sekai (Transparent World)",https://cdn.myanimelist.net/images/manga/2/120073l.jpg,https://myanimelist.net/manga/2921/Kaichou_wa_Maid-sama,Maid-sama!
61,JoJo no Kimyou na Bouken Part 8: JoJolion,manga,8.45,finished,27,110,"In 2011, childhood friends Yasuho Hirose and Joushuu Higashikata discover a naked man buried in the ground just outside the town of Morioh. The man has no memory of his name or previous life; the only thing he remembers about himself is how to use his Stand, a supernatural ability that takes the form of a humanoid creature. The stranger is quickly given a name, Jousuke, and Joushuu's father Norisuke decides to adopt him into the Higashikata household until he can find his own home.

As Jousuke begins to investigate his past, it becomes apparent that he is no ordinary amnesiac. There is much more to his identity than he first suspected, and, as he is thrust into a series of high-stakes Stand battles, he soon begins unravelling a deadly conspiracy that encompasses the entire town.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/1/179885l.jpg,https://myanimelist.net/manga/25515/JoJo_no_Kimyou_na_Bouken_Part_8__JoJolion,
62,Blue Period,manga,8.7,currently_publishing,,,"Second-year high school student Yatora Yaguchi is bored with his normal life. He studies well and plays around with his friends, but in truth, he does not enjoy either of those activities. Bound by norms, he secretly envies those who do things differently.

That is until he discovers the joy of drawing. When he sees a painting made by a member of the Art Club, Yatora becomes fascinated with the colors used in it. Later, in an art exercise, he tries to convey his language without words but instead through painting. After that experience, Yatora finds himself so invested in art that he decides that it is what he wants to do for a living. But there stand multiple obstacles in his way: his parents who are hesitant over his unique choices, his more experienced peers, and the study of a subject much deeper than he initially expected.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/2/204827l.jpg,https://myanimelist.net/manga/107931/Blue_Period,Blue Period
63,Mushoku Tensei: Isekai Ittara Honki Dasu,light_novel,8.76,currently_publishing,,,"Killed while saving a stranger from a traffic collision, a 34-year-old NEET is reincarnated into a world of magic as Rudeus Greyrat, a newborn baby. With knowledge, experience, and regrets from his previous life retained, Rudeus vows to lead a fulfilling life and not repeat his past mistakes.

Now gifted with a tremendous amount of magical power as well as the mind of a grown adult, Rudeus is seen as a genius in the making by his new parents. Soon, he finds himself studying under powerful warriors, such as his swordsman father and a mage named Roxy Migurdiaâ€”all in order to hone his apparent talents. But despite his innocent exterior, Rudeus is still a perverted otaku, who uses his wealth of knowledge to make moves on women whom he could never make in his previous life.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/3/120337l.jpg,https://myanimelist.net/manga/70261/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu,Mushoku Tensei: Jobless Reincarnation
64,Jibaku Shounen Hanako-kun,manga,8.6,currently_publishing,,,"Rumors of the supernatural overrun Kamome Academy, namely the ""Seven Mysteries."" One of these mysteries is the legend of Hanako-san, the ghost of a young girl residing in the girl's bathroom on the third floor of the old school building, who is said to grant any wish her summoner desires. First-year high school student Nene Yashiro daringly summons Hanako-san in desperate need of love, but the Hanako that appears before her is a boy!

After Hanako-kun claims that he has no magical items of use, Nene tries various ways to get noticed by her crush. With her desperation reaching its peak, she gets into trouble after consuming a mermaid scale, which turns her into a fish. Hanako-kun rescues her, binding their fates together in the process; in return for this aid, Nene must become his assistant. Now entangled in the supernatural realm, Nene soon discovers that there's much more to the school's Seven Mysteries than basic rumors.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/3/192551l.jpg,https://myanimelist.net/manga/105084/Jibaku_Shounen_Hanako-kun,Toilet-Bound Hanako-kun
65,Shigatsu wa Kimi no Uso,manga,8.6,finished,11,44,"At a very young age, Kousei Arima was strictly taught how to play the piano and meticulously follow the score by his mother, to the point where he dominated every competition he entered with ease. He earned the title of ""Human Metronome"" for performing almost perfectly. Every musician of his age looked up to him. However, after his mother suddenly dies, he became tone-deaf due to the shock and then disappeared, never to be seen onstage since.

Two years later, Kousei lives a monotonous life with his childhood friends Tsubaki Sawabe and Ryouta Watari supporting him. He continues to cling to music, although performing is still an impossibility for him. This is until his unexpected encounter with Kaori Miyazono, a violinist who performs freely without the dictations of a score. A story of friendship, love, music, and a single lie, Kousei's life begins to change and gain color as Kaori helps him to take up music again.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/3/102691l.jpg,https://myanimelist.net/manga/37707/Shigatsu_wa_Kimi_no_Uso,Your Lie in April
66,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,light_novel,8.92,finished,14,110,"Receiving funding from the government to nurture the next generation's hopefuls, Tokyo Metropolitan Advanced Nurturing High School brings together the brightest youth of Japan onto a single campus. At this seemingly perfect institution, the reserved Kiyotaka Ayanokouji arrives as an incoming member of class 1-D, where he befriends one of his classmates, the antisocial Suzune Horikita.

At first, his peers revel in the academy's leisurely lifestyle, taking advantage of all of its state-of-the-art facilities. Soon enough, however, the facade of Tokyo Metropolitan Advanced Nurturing High School gives way to its true natureâ€”only the top scoring classes can fully utilize the school's offerings, and Class D is the furthest from such a status. Standing at the bottom of the hierarchy, Class D houses all of the school's ""worst"" students.

Following this rude awakening, Ayanokouji, Horikita, and the rest of Class D must overcome their differences and clash against other classes in order to climb to the coveted position of Class A by any means necessary.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/2/177958l.jpg,https://myanimelist.net/manga/89357/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e,Classroom of the Elite
67,Noragami,manga,8.41,currently_publishing,,,"As a relatively unknown minor deity without any worshippers, Delivery God Yato takes on odd jobs for only five yen, with the goal of amassing a fortune large enough to buy himself a shrine. But in addition to obscurity, he has another problem: his ""Shinki,"" or weapon partner, has decided to resign, tired of being with a homeless god. Left with no weapon, Yato takes on more jobs, hoping to find a new partner soon.

While out putting up fliers for a missing cat, Yato sees said cat and chases after him, right into the path of an oncoming vehicle. Hiyori Iki, a nearby girl, rushes to push Yato out of the way and ends up hurt herself. After waking up in the hospital, she discovers the incident has knocked her soul loose from her body. Realizing his actions caused this, Yato promises to help return Hiyori to normalâ€”for five yen of course. But in order to return her to normal, he requires a new Shinki, which he finds in the rebellious spirit Yukine.

Noragami tells the story of a girl walking the line between two worlds, and a stray deity's quest for a place to call his own.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/3/161911l.jpg,https://myanimelist.net/manga/24692/Noragami,Noragami: Stray God
68,The Horizon,manhwa,8.71,finished,3,21,"In a world ravaged by war, a young boy walks down a lonely road in the aftermath of his mother's death. Along his journey, he witnesses military tanks, dead bodies, and his beloved city in ruins. With eyes clouded by anguish, he pushes himself to keep moving forward.

One morning, he meets a girl in an abandoned bus where he spent the night. Moments after their encounter, the area turns into a battlefield, and the pair escapes into a long abandoned lane. The two strangers decide to walk together to the end of the road, thus beginning a companionship that will ignite new hope inside their shriveled hearts.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/1/229331l.jpg,https://myanimelist.net/manga/125036/The_Horizon,The Horizon
69,Beck,manga,8.68,finished,34,103,"Yukio ""Koyuki"" Tanaka wasted away his middle school days listening to Japanese pop music and apathetically trudging through lifeâ€”until a casual run-in with the enigmatic guitarist Ryuusuke ""Ray"" Minami. Through this encounter, Koyuki realizes what he has been missing all this time as Ray introduces him to western rock music and jumpstarts his desire to play guitar.

Although various struggles plague his path to rock fame, Koyuki refuses to abandon the passion that gave his life purpose, balancing it together with school, work, and friends. Beck tells the story of the love and trial that accompanies pursuing a professional career in music as Koyuki and Ray work toward realizing the guitarist's dream of the ultimate band.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/3/253274l.jpg,https://myanimelist.net/manga/145/Beck,BECK: Mongolian Chop Squad
70,Kamisama Hajimemashita,manga,8.53,finished,25,154,"Nanami Momozono is a high schooler who has a lot on her plate. Her father had evaded his enormous gambling debts by escaping town, which resulted in his daughter being evicted by the debt collectors. As Nanami muses about her future, she runs into a man hanging onto a tree to escape a dog. She rescues him and tells him about her current situation, prompting the man to offer her his home. He believes that Nanami is more suited than him to be the ""Master"" of the house, and thus she takes him up on his offer.

Upon arrival, however, Nanami discovers that said house is actually a dilapidated shrine. She is about to double back when a fox familiar and two shrine spirits stop her, mistaking her for their former master Mikage, the land god of the shrine. Upon realization, Tomoeâ€”the fox familiarâ€”leaves the shrine, refusing to serve Nanami. After a series of events leaves Nanami in grave danger, she summons Tomoe and seals a contract with him to earn his subservience. Now a human land god, Nanami must face new daunting tasks, menacing adversaries, and her handsome and hot-headed familiar.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/1/167521l.jpg,https://myanimelist.net/manga/8157/Kamisama_Hajimemashita,Kamisama Kiss
71,TokyoåRevengers,manga,8.33,currently_publishing,,,"Takemichi Hanagaki's life is at an all-time low. Just when he thought it couldn't get worse, he finds out that Hinata Tachibana, his ex-girlfriend, was murdered by the Tokyo Manji Gang: a group of vicious criminals that has been disturbing society's peace for quite some time. 

Wondering where it all went wrong, Takemichi suddenly finds himself traveling through time, ending up 12 years in the pastâ€”when he was still in a relationship with Hinata. Realizing he has a chance to save her, Takemichi resolves to infiltrate the Tokyo Manji Gang and climb the ranks in order to rewrite the future and save Hinata from her tragic fate.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/3/196272l.jpg,https://myanimelist.net/manga/104565/TokyoåRevengers,Tokyo Revengers
72,Tensei shitara Slime Datta Ken,manga,8.4,currently_publishing,,,"It is just another ordinary day for Satoru Mikami. The sun is shining brightly on the streets of Tokyo, and he is in the midst of a discussion with his colleagues when suddenly he gets stabbed by a passing robber. The average 37-year-old corporate worker is now at death's door, and he has only one regretâ€”dying a virgin. Fading out, he is startled by a mysterious AI-like voice reciting commands. 

Satoru abruptly wakes up in the middle of a strange cave, but something odd has happened: he is now a goop of slime! Thanks to his new body, he has acquired the skill to absorb anything and obtain its appearance and abilities. While testing out his newfound powers and exploring the cave, he stumbles upon a massive dragon named Veldora, who has been sealed away for the past three hundred years. After quickly befriending the beast, Satoru decides to help him escape; in exchange, Satoru is bestowed a new name: ""Rimuru Tempest.""

Wishing to avoid a life like his boring and mundane past, Rimuru is about to set out on a grand quest that will change his own destiny and the fate of his new world.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/3/167639l.jpg,https://myanimelist.net/manga/87609/Tensei_shitara_Slime_Datta_Ken,That Time I Got Reincarnated as a Slime
73,The Breaker: New Waves,manhwa,8.39,finished,20,203,"After Yi ""Shioon"" Shi-Woon's master, Goomoonryong, breaks his ki-center, leaving him unable to use his martial arts, he decides to leave the world of Murim and continue on with his normal life: going to school and coming home to his mother every day. However, Murim has other ideas.

Discovered as the only true disciple of Goomoonryong and entrusted with the Phoenix Medallion of the Sunwoo Clan by Lady Sosulâ€”making him the interim leader of the Sunwoo Clanâ€”the world of Murim is not so eager to let Shioon leave. With his new status, enemies Shioon has never encountered before keep appearing before him, such as the organization known as Soldiers Under Command. They are intent on getting rid of him for the sake of their own prosperity, but how will Shioon defend himself without his ki-center intact?

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/1/62105l.jpg,https://myanimelist.net/manga/22651/The_Breaker__New_Waves,
74,Eyeshield 21,manga,8.48,finished,37,333,"Timid, diminutive, and frequently the target of bullies, Sena Kobayakawa has just enrolled at Deimon Private High School. When he angers a group of delinquents by refusing to act as their errand boy, he makes an incredibly speedy getaway, an ability he has developed through years of running from his tormentors.

Youichi Hirumaâ€”the demonic captain of the Deimon Devil Bats football teamâ€”happens to be nearby, and seeing Sena's ""golden legs"" at work, forcibly recruits him as a running back despite Sena's desire to be team manager instead. Made to don the number 21 jersey and a special helmet to hide his identity as a player, Sena becomes ""Eyeshield 21,"" the team's closely guarded secret weapon. Soon he realizes his love for the sport, and aims to help the Devil Bats reach the Christmas Bowl, the high school football championship.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/2/165586l.jpg,https://myanimelist.net/manga/43/Eyeshield_21,Eyeshield 21
75,Orange,manga,8.34,finished,6,31,"One morning, Naho Takamiya receives a letter in the mail claiming to be from herself 10 years in the future. The letter reveals a series of events that are supposed to take place that day. At first, Naho thinks it's just a prank; but when the letter mentions a transfer student named Kakeru Naruse, who really ends up transferring into her class later that day, she is forced to believe in its contents.

As Naho continues to read the letter, her future self mentions several regrets, urging Naho to take the right decisions now. Somehow these regrets all seem to be connected to Kakeru, and with the burden of the knowledge that the boy wouldn't be with her and her friends in the future, will Naho be able to make the perfect choices that will alter what seems to be fate?

[Written by MAL Rewrite]

Also includes Haru-iro Astronaut (Spring-Colored Astronaut) series.",https://cdn.myanimelist.net/images/manga/2/153742l.jpg,https://myanimelist.net/manga/35573/Orange,orange
76,Kiseijuu,manga,8.39,finished,10,64,"""Parasites"" are tennis ball sized creatures, whose numbers and origins are unknown. They invade and take over the human mind in order to survive. Shinichi Izumi is a 16-year-old high school student who lives with his parents in a quiet neighborhood. One night, a Parasite invades Shinichi's body in an attempt to take control of it. However, it fails to complete the takeover process and ultimately ends up inhabiting only his right arm. 

Thus, both Shinichi and the Parasiteâ€”who calls himself Migiâ€”retain their individual minds. Now in a peculiar ""human and alien"" relationship, Migi proposes that they cooperate to survive. Shinichi has no choice but to agree, and he must now cling to his morality as he and Migi face off against other bloodthirsty Parasites.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/2/188928l.jpg,https://myanimelist.net/manga/401/Kiseijuu,Parasyte
77,21st Century Boys,manga,8.42,finished,2,16,"As the conflict between Kenji Endo, his childhood friends, and cult leader ""Friend"" comes to an end, two mysteries remainâ€”Friend's true identity and whether the threat of an ""anti-photon bomb"" before his death was legitimate. Hoping to find an answer, Kenji, alongside the United Nations, decides to use a virtual reality program created from Friend's childhood memories in this conclusion to a long journey that will span dozens of decades.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/2/263856l.jpg,https://myanimelist.net/manga/743/21st_Century_Boys,21st Century Boys
78,Kimetsu no Yaiba,manga,8.28,finished,23,207,"Tanjirou Kamado lives with his impoverished family on a remote mountain. As the oldest sibling, he took upon the responsibility of ensuring his family's livelihood after the death of his father. On a cold winter day, he goes down to the local village in order to sell some charcoal. As dusk falls, he is forced to spend the night in the house of a curious man who cautions him of strange creatures that roam the night: malevolent demons who crave human flesh.

When he finally makes his way home, Tanjirou's worst nightmare comes true. His entire family has been brutally slaughtered with the sole exception of his sister Nezuko, who has turned into a flesh-eating demon. Engulfed in hatred and despair, Tanjirou desperately tries to stop Nezuko from attacking other people, setting out on a journey to avenge his family and find a way to turn his beloved sister back into a human.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/3/179023l.jpg,https://myanimelist.net/manga/96792/Kimetsu_no_Yaiba,Demon Slayer: Kimetsu no Yaiba
